"category","code","definition"
"Factores personales","motivacion_intrinseca","Razones internas, pasion o intereses personales del tesista que lo impulsan a realizar la tesis (ej: tema que le duele, vocacion, conviccion etica)."
"Factores personales","autoeficacia","Creencia del tesista sobre su propia capacidad para completar la tesis; confianza o inseguridad frente a los retos academicos."
"Factores personales","autoexigencia_perfeccionismo","Exigencia interna desproporcionada, estandares perfeccionistas que bloquean el avance o generan insatisfaccion con el propio trabajo."
"Factores personales","gestion_del_tiempo","Descripciones sobre como el tesista organiza, planifica o falla en administrar el tiempo disponible para la tesis."
"Factores personales","salud_mental","Menciones de ansiedad, depresion, burnout, insomnio, atencion psicologica o psiquiatrica, trastornos o sintomas mentales atribuidos al proceso."
"Factores personales","estrategias_afrontamiento","Tacticas, rutinas o estrategias concretas que el tesista aplica para manejar dificultades (ej: Pomodoro, escribir mal, dividir tareas)."
"Factores personales","procrastinacion_evitacion","Conductas de postergacion, evitacion del trabajo, uso de distractores (Netflix, redes) para no enfrentar la tesis."
"Factores institucionales","asesor_distante","Descripciones del asesor como poco disponible, con respuestas tardias, falta de feedback sustantivo o ausencia de seguimiento."
"Factores institucionales","asesor_exigente","Asesor descrito como duro, demandante, con altas expectativas y retroalimentacion critica pero comprometido con la formacion."
"Factores institucionales","asesor_sobreinvolucrado","Asesor con presencia excesiva, intrusiva, demandas fuera de horario, vigilancia constante del avance o perdida de autonomia del tesista."
"Factores institucionales","metodologia_investigacion","Referencias a aspectos metodologicos de la investigacion: diseno, muestreo, instrumentos, analisis de datos, validez, rigor cientifico."
"Factores institucionales","burocracia_universitaria","Tramites, requisitos, reglamentos, plazos institucionales que generan friccion o retrasos al proceso de tesis."
"Factores institucionales","recursos_universidad","Servicios de la universidad que el tesista uso o valoro (biblioteca, psicologia universitaria, talleres, asesorias metodologicas, plataformas)."
"Factores sociales","apoyo_familiar","Soporte emocional, consejos o ayuda practica de familiares (padres, hermanos) durante el proceso de tesis."
"Factores sociales","apoyo_pareja","Apoyo, paciencia o tension con la pareja/conyugue derivada de la dedicacion a la tesis (incluidas rupturas por la tesis)."
"Factores sociales","grupo_pares_tesistas","Relaciones con otros tesistas (grupos de estudio, WhatsApp, amistades academicas) que sirven como soporte emocional o tecnico."
"Factores sociales","comparacion_social","Menciones donde el tesista se compara con companeros (ritmo, logros, publicaciones) generando ansiedad, envidia o sensacion de retraso."
"Factores sociales","aislamiento_academico","Percepcion de soledad durante el proceso, falta de red de apoyo, encierro social, sensacion de estar solo frente al trabajo."
"Factores economicos y laborales","trabajo_paralelo","Compatibilizacion entre trabajo remunerado y tesis, incluyendo cansancio, jornada doble, horarios restringidos."
"Factores economicos y laborales","sacrificio_economico","Gastos asociados a la tesis (estadistico, impresiones, conferencias, datos) y el esfuerzo economico que implican."
"Factores economicos y laborales","necesidad_financiamiento","Necesidad de financiamiento, becas, apoyo economico para poder continuar; preocupaciones economicas del tesista."
"Experiencias emocionales","crisis_abandono","Momentos concretos en que el tesista penso en abandonar, considero retirar la tesis, tuvo crisis de desmotivacion aguda o quiso rendirse."
"Experiencias emocionales","logro_avance","Satisfaccion por avances concretos: capitulo terminado, aprobacion del tribunal, defensa exitosa, reconocimiento del asesor."
"Experiencias emocionales","proceso_transformador","Reflexiones sobre como el proceso cambio al tesista: aprendizajes personales, cambio de perspectiva, habilidades nuevas, madurez."
"Experiencias emocionales","emocion_negativa","Expresiones de tristeza, frustracion, rabia, impotencia, miedo, culpa, agotamiento vinculadas al proceso de tesis."
"Experiencias emocionales","emocion_positiva","Expresiones de alegria, orgullo, esperanza, gratitud, alivio asociadas con momentos o personas durante la tesis."
